uid,bid,click,buy,fav,cart,diff_day,click_decay,buy_decay,fav_decay,cart_decay,interaction_frequency,historical_activity
10944750,26619,1,0,0,0,17,0.05555555555555555,0,0,0,23,1
10944750,5185,1,0,0,0,5,0.16666666666666666,0,0,0,23,1
10944750,23662,2,0,0,0,26,0.07407407407407407,0,0,0,23,2
10944750,19673,6,1,0,0,10,0.5303030303030303,0.09090909090909091,0,0,23,7
10944750,13779,1,0,0,0,7,0.125,0,0,0,23,1
10944750,21501,4,0,0,0,8,0.4444444444444444,0,0,0,23,4
10944750,11465,1,0,0,0,17,0.05555555555555555,0,0,0,23,1
10944750,25687,8,0,0,0,13,0.4539170506912441,0,0,0,23,8
10944750,23564,1,0,0,0,13,0.07142857142857142,0,0,0,23,1
10944750,29547,3,0,0,0,6,0.42857142857142855,0,0,0,23,3
10944750,12055,4,0,0,0,13,0.2857142857142857,0,0,0,23,4
10944750,19414,1,0,0,0,17,0.05555555555555555,0,0,0,23,1
10944750,6294,3,0,0,0,2,1.0,0,0,0,23,3
10944750,10970,2,0,0,0,12,0.15384615384615385,0,0,0,23,2
10944750,8719,1,0,0,0,12,0.07692307692307693,0,0,0,23,1
10944750,21672,1,0,0,0,22,0.043478260869565216,0,0,0,23,1
10944750,13592,3,0,0,0,13,0.21428571428571427,0,0,0,23,3
10944750,11776,1,0,0,0,21,0.045454545454545456,0,0,0,23,1
10944750,6918,3,0,0,0,5,0.5,0,0,0,23,3
10944750,25372,11,2,0,0,3,1.0851648351648349,0.15384615384615385,0,0,23,13
10944750,679,1,0,0,0,21,0.045454545454545456,0,0,0,23,1
10944750,24359,1,0,0,0,11,0.08333333333333333,0,0,0,23,1
10944750,12599,1,0,0,0,12,0.07692307692307693,0,0,0,23,1
12028500,20386,1,0,0,0,3,0.25,0,0,0,16,1
12028500,15935,1,0,0,0,7,0.125,0,0,0,16,1
12028500,27014,1,0,0,0,12,0.07692307692307693,0,0,0,16,1
12028500,9922,2,0,0,0,7,0.25,0,0,0,16,2
12028500,20796,1,0,0,0,9,0.1,0,0,0,16,1
12028500,16460,1,0,0,0,9,0.1,0,0,0,16,1
12028500,5254,1,0,0,0,28,0.034482758620689655,0,0,0,16,1
12028500,396,1,0,0,0,19,0.05,0,0,0,16,1
12028500,13390,6,1,0,0,29,0.19999999999999998,0.03333333333333333,0,0,16,7
12028500,5639,1,0,0,0,18,0.05263157894736842,0,0,0,16,1
12028500,22484,1,0,0,0,1,0.5,0,0,0,16,1
12028500,15311,3,1,0,0,6,0.42857142857142855,0.14285714285714285,0,0,16,4
12028500,14821,1,0,0,0,7,0.125,0,0,0,16,1
12028500,13747,1,0,0,0,5,0.16666666666666666,0,0,0,16,1
12028500,25260,3,0,0,0,16,0.1764705882352941,0,0,0,16,3
12028500,17024,2,0,0,0,20,0.08333333333333333,0,0,0,16,2
12154500,3254,1,0,0,0,4,0.2,0,0,0,55,1
12154500,12747,1,0,0,0,28,0.034482758620689655,0,0,0,55,1
12154500,3536,1,0,0,0,16,0.058823529411764705,0,0,0,55,1
12154500,28621,17,0,0,0,11,1.4166666666666663,0,0,0,55,17
12154500,14894,3,0,0,0,21,0.13438735177865613,0,0,0,55,3
12154500,19973,1,0,0,0,20,0.047619047619047616,0,0,0,55,1
12154500,155,1,0,0,0,4,0.2,0,0,0,55,1
12154500,11922,2,0,0,0,15,0.125,0,0,0,55,2
12154500,4571,1,0,0,0,20,0.047619047619047616,0,0,0,55,1
12154500,26114,1,0,0,0,17,0.05555555555555555,0,0,0,55,1
12154500,12870,1,0,0,0,13,0.07142857142857142,0,0,0,55,1
12154500,23556,2,0,0,0,18,0.10526315789473684,0,0,0,55,2
12154500,21294,2,0,0,0,13,0.14285714285714285,0,0,0,55,2
12154500,2351,2,0,0,0,20,0.09523809523809523,0,0,0,55,2
12154500,21657,2,0,0,0,14,0.13333333333333333,0,0,0,55,2
12154500,14261,1,0,0,0,1,0.5,0,0,0,55,1
12154500,21308,1,0,0,0,13,0.07142857142857142,0,0,0,55,1
12154500,2504,1,0,0,0,15,0.0625,0,0,0,55,1
12154500,13226,2,1,0,0,15,0.125,0.0625,0,0,55,3
12154500,24157,1,0,0,0,26,0.037037037037037035,0,0,0,55,1
12154500,3627,3,0,0,0,3,0.625,0,0,0,55,3
12154500,2382,1,0,0,0,15,0.0625,0,0,0,55,1
12154500,17718,1,0,0,0,13,0.07142857142857142,0,0,0,55,1
12154500,12722,1,0,0,0,17,0.05555555555555555,0,0,0,55,1
12154500,16540,5,0,0,0,21,0.22529644268774707,0,0,0,55,5
12154500,17640,15,4,0,0,17,0.6914875895385639,0.19806763285024154,0,0,55,19
12154500,10718,1,0,0,0,4,0.2,0,0,0,55,1
12154500,15315,2,0,0,0,11,0.16666666666666666,0,0,0,55,2
12154500,20411,12,0,0,0,3,0.9375,0,0,0,55,12
12154500,17214,1,1,0,0,13,0.07142857142857142,0.07142857142857142,0,0,55,2
12154500,28924,1,0,0,0,23,0.041666666666666664,0,0,0,55,1
12154500,28347,1,0,0,0,26,0.037037037037037035,0,0,0,55,1
12154500,18947,1,0,0,0,13,0.07142857142857142,0,0,0,55,1
12154500,20180,1,0,0,0,14,0.06666666666666667,0,0,0,55,1
12154500,251,1,0,0,0,3,0.25,0,0,0,55,1
12154500,7611,4,1,0,0,13,0.27142857142857146,0.06666666666666667,0,0,55,5
12154500,12699,1,0,0,0,21,0.045454545454545456,0,0,0,55,1
12154500,23623,1,0,0,0,17,0.05555555555555555,0,0,0,55,1
12154500,26318,2,0,0,0,25,0.07692307692307693,0,0,0,55,2
12154500,11767,1,0,0,0,2,0.3333333333333333,0,0,0,55,1
12154500,949,3,0,0,0,11,0.25,0,0,0,55,3
12154500,11773,2,0,0,0,7,0.25,0,0,0,55,2
12154500,1073,1,0,0,0,24,0.04,0,0,0,55,1
12154500,27446,2,0,0,0,13,0.11688311688311688,0,0,0,55,2
12154500,8792,1,0,0,0,22,0.043478260869565216,0,0,0,55,1
12154500,27435,1,0,0,0,4,0.2,0,0,0,55,1
12154500,18027,1,0,0,0,22,0.043478260869565216,0,0,0,55,1
12154500,20412,1,0,0,0,4,0.2,0,0,0,55,1
12154500,7868,35,8,0,0,16,1.3371259404127696,0.2669632925472748,0,0,55,43
12154500,29374,2,0,0,0,21,0.09090909090909091,0,0,0,55,2
12154500,28425,1,0,0,0,4,0.2,0,0,0,55,1
12154500,4327,8,0,0,0,21,0.3636363636363637,0,0,0,55,8
12154500,6635,1,0,0,0,4,0.2,0,0,0,55,1
12154500,28184,2,0,0,0,15,0.125,0,0,0,55,2
12154500,5470,14,0,0,0,11,1.1666666666666665,0,0,0,55,14
1620500,14887,6,0,0,0,15,0.375,0,0,0,1,6
