uid,bid,flag,click,buy,fav,cart,diff_day,click_decay,buy_decay,fav_decay,cart_decay,interaction_frequency,historical_activity
10944750,13451,0,6,0,2,0,11,0.49999999999999994,0,0.16666666666666666,0,38,8
10944750,21110,0,1,0,0,0,8,0.1111111111111111,0,0,0,38,1
10944750,8689,0,3,0,2,0,44,0.06666666666666667,0,0.044444444444444446,0,38,5
10944750,18575,0,1,0,0,0,44,0.022222222222222223,0,0,0,38,1
10944750,15761,0,4,0,0,0,52,0.07547169811320754,0,0,0,38,4
10944750,15315,0,2,0,0,0,14,0.13333333333333333,0,0,0,38,2
10944750,15980,0,1,0,0,0,44,0.022222222222222223,0,0,0,38,1
10944750,1996,0,4,0,0,0,44,0.08888888888888889,0,0,0,38,4
10944750,23251,0,3,0,0,0,1,1.5,0,0,0,38,3
10944750,6290,0,3,0,0,0,26,0.1015531660692951,0,0,0,38,3
10944750,14580,0,1,0,0,0,44,0.022222222222222223,0,0,0,38,1
10944750,7373,0,4,0,0,0,4,0.8,0,0,0,38,4
10944750,4078,0,1,0,0,0,31,0.03125,0,0,0,38,1
10944750,8628,0,5,0,0,0,5,0.8333333333333333,0,0,0,38,5
10944750,25687,0,20,0,1,0,9,0.7126602564102565,0,0.02564102564102564,0,38,21
10944750,9817,0,2,0,0,0,4,0.4,0,0,0,38,2
10944750,3631,0,1,0,0,0,22,0.043478260869565216,0,0,0,38,1
10944750,1461,0,14,0,0,0,5,2.261904761904762,0,0,0,38,14
10944750,24869,0,1,0,0,0,58,0.01694915254237288,0,0,0,38,1
10944750,7150,0,2,1,0,0,8,0.2222222222222222,0.1111111111111111,0,0,38,3
10944750,5357,0,1,0,0,0,38,0.02564102564102564,0,0,0,38,1
10944750,7737,0,1,0,0,0,16,0.058823529411764705,0,0,0,38,1
10944750,11638,0,1,0,0,0,38,0.02564102564102564,0,0,0,38,1
10944750,11026,0,1,0,0,0,44,0.022222222222222223,0,0,0,38,1
10944750,10480,0,2,0,0,0,44,0.044444444444444446,0,0,0,38,2
10944750,8719,0,6,0,0,0,9,0.3652173913043478,0,0,0,38,6
10944750,1472,0,1,0,0,0,44,0.022222222222222223,0,0,0,38,1
10944750,12490,0,3,0,0,0,4,0.6000000000000001,0,0,0,38,3
10944750,28504,0,1,0,0,0,22,0.043478260869565216,0,0,0,38,1
10944750,28011,0,1,0,0,0,44,0.022222222222222223,0,0,0,38,1
10944750,11022,0,5,0,0,0,44,0.11111111111111112,0,0,0,38,5
10944750,2826,0,2,0,0,0,5,0.2777777777777778,0,0,0,38,2
10944750,25372,1,1,0,0,0,5,0.16666666666666666,0,0,0,38,1
10944750,6080,0,1,0,0,0,22,0.043478260869565216,0,0,0,38,1
10944750,11942,0,1,0,1,0,44,0.022222222222222223,0,0.022222222222222223,0,38,2
10944750,19166,0,1,0,0,0,45,0.021739130434782608,0,0,0,38,1
10944750,12599,0,4,0,0,0,4,0.8,0,0,0,38,4
10944750,11167,0,2,0,0,0,5,0.3333333333333333,0,0,0,38,2
12028500,622,0,1,0,0,0,40,0.024390243902439025,0,0,0,5,1
12028500,27272,0,1,0,0,0,40,0.024390243902439025,0,0,0,5,1
12028500,3032,0,1,0,0,0,40,0.024390243902439025,0,0,0,5,1
12028500,13747,0,2,0,0,0,40,0.04878048780487805,0,0,0,5,2
12028500,679,0,1,0,0,0,41,0.023809523809523808,0,0,0,5,1
1206500,4571,0,1,0,0,0,20,0.047619047619047616,0,0,0,2,1
1206500,7868,0,1,0,0,0,20,0.047619047619047616,0,0,0,2,1
12154500,8689,0,5,2,0,0,27,0.1661129568106312,0.07142857142857142,0,0,133,7
12154500,20956,0,4,0,0,0,5,0.5952380952380952,0,0,0,133,4
12154500,11605,0,1,0,0,0,5,0.16666666666666666,0,0,0,133,1
12154500,2853,0,7,0,0,0,6,0.9999999999999998,0,0,0,133,7
12154500,4300,0,1,0,0,0,16,0.058823529411764705,0,0,0,133,1
12154500,5267,0,1,0,0,0,19,0.05,0,0,0,133,1
12154500,24687,0,1,0,0,0,36,0.02702702702702703,0,0,0,133,1
12154500,19102,0,1,0,0,0,30,0.03225806451612903,0,0,0,133,1
12154500,21336,0,1,0,0,0,21,0.045454545454545456,0,0,0,133,1
12154500,1337,0,1,0,0,0,16,0.058823529411764705,0,0,0,133,1
12154500,1758,0,4,0,0,0,30,0.08064516129032258,0,0,0,133,4
12154500,647,0,1,0,0,0,15,0.0625,0,0,0,133,1
12154500,9153,0,3,0,0,0,8,0.3333333333333333,0,0,0,133,3
12154500,11922,0,2,0,0,0,43,0.045454545454545456,0,0,0,133,2
12154500,4949,0,4,0,0,0,19,0.19761904761904764,0,0,0,133,4
12154500,13240,0,4,0,0,0,49,0.08,0,0,0,133,4
12154500,24978,0,1,0,0,0,40,0.024390243902439025,0,0,0,133,1
12154500,13489,0,7,0,0,0,61,0.11290322580645161,0,0,0,133,7
12154500,2739,0,1,0,0,0,58,0.01694915254237288,0,0,0,133,1
12154500,14818,0,1,0,0,0,49,0.02,0,0,0,133,1
12154500,9653,0,1,0,0,0,5,0.16666666666666666,0,0,0,133,1
12154500,4694,0,1,0,0,0,50,0.0196078431372549,0,0,0,133,1
12154500,282,0,1,0,0,0,4,0.2,0,0,0,133,1
12154500,2683,0,8,0,0,0,35,0.22222222222222227,0,0,0,133,8
12154500,15086,0,1,1,0,0,22,0.043478260869565216,0.043478260869565216,0,0,133,2
12154500,5807,0,2,0,0,0,57,0.034482758620689655,0,0,0,133,2
12154500,10176,0,1,0,0,0,2,0.3333333333333333,0,0,0,133,1
12154500,7695,0,1,0,0,0,29,0.03333333333333333,0,0,0,133,1
12154500,20300,0,3,0,0,0,33,0.08823529411764705,0,0,0,133,3
12154500,15934,0,5,0,0,0,19,0.25,0,0,0,133,5
12154500,11176,0,2,0,0,0,13,0.12142857142857143,0,0,0,133,2
12154500,21657,0,4,0,0,0,30,0.12903225806451613,0,0,0,133,4
12154500,19149,0,1,0,0,0,30,0.03225806451612903,0,0,0,133,1
12154500,14261,0,5,0,0,0,28,0.15900383141762453,0,0,0,133,5
12154500,25488,0,5,0,0,0,19,0.25,0,0,0,133,5
12154500,4078,0,1,0,0,0,58,0.01694915254237288,0,0,0,133,1
12154500,18292,0,1,0,0,0,17,0.05555555555555555,0,0,0,133,1
12154500,19421,0,1,0,0,0,22,0.043478260869565216,0,0,0,133,1
12154500,7741,0,1,0,0,0,57,0.017241379310344827,0,0,0,133,1
12154500,5041,0,1,0,0,0,4,0.2,0,0,0,133,1
12154500,18571,0,1,0,0,0,55,0.017857142857142856,0,0,0,133,1
12154500,13793,0,2,0,0,0,20,0.09523809523809523,0,0,0,133,2
12154500,9804,0,1,0,0,0,30,0.03225806451612903,0,0,0,133,1
12154500,6880,0,1,0,0,0,40,0.024390243902439025,0,0,0,133,1
12154500,5297,0,2,0,0,0,27,0.05952380952380952,0,0,0,133,2
12154500,14580,0,1,0,0,0,58,0.01694915254237288,0,0,0,133,1
12154500,25723,0,1,0,0,0,5,0.16666666666666666,0,0,0,133,1
12154500,20342,0,1,0,0,0,36,0.02702702702702703,0,0,0,133,1
12154500,11328,0,13,0,0,0,21,0.5909090909090909,0,0,0,133,13
12154500,4281,0,1,0,0,0,21,0.045454545454545456,0,0,0,133,1
12154500,20207,0,1,0,0,0,61,0.016129032258064516,0,0,0,133,1
12154500,14065,0,2,0,0,0,33,0.058823529411764705,0,0,0,133,2
12154500,20909,0,1,0,0,0,41,0.023809523809523808,0,0,0,133,1
12154500,3627,0,6,0,0,0,21,0.1645021645021645,0,0,0,133,6
